,distance,rating,renterTripsTaken,reviewCount,responseRate,newListing,fuelType,responseTime
0,13.0,5.0,7,0,,False,,
1,20.0,5.0,40,0,,False,,
2,15.0,5.0,17,0,,False,,
3,9.0,5.0,117,0,,False,,
4,4.0,5.0,1,0,,False,,
5,5.0,5.0,22,0,,False,,
6,13.0,5.0,19,0,,False,,
7,0.0,4.98,77,0,,False,,
8,11.0,4.93,16,0,,False,,
9,12.0,5.0,27,0,,False,,
10,5.0,4.91,111,0,,False,,
11,13.0,5.0,31,0,,False,,
12,11.0,5.0,51,0,,False,,
13,6.0,5.0,37,0,,False,,
14,11.0,5.0,12,0,,False,,
15,9.0,5.0,1,0,,False,,
16,11.0,5.0,12,0,,False,,
17,1.0,5.0,7,0,,False,,
18,10.0,5.0,23,0,,False,,
19,11.0,5.0,45,0,,False,,
20,6.0,5.0,12,0,,False,,
21,0.0,5.0,5,0,,False,,
22,4.0,5.0,6,0,,False,,
23,0.0,5.0,47,0,,False,,
24,6.0,5.0,27,0,,False,,
25,6.0,5.0,5,0,,False,,
26,13.0,5.0,31,0,,False,,
27,9.0,5.0,2,0,,False,,
28,0.0,4.92,29,0,,False,,
29,13.0,4.88,49,0,,False,,
30,12.0,5.0,21,0,,False,,
31,0.0,4.95,83,0,,False,,
32,22.0,5.0,12,0,,False,,
33,0.0,5.0,19,0,,False,,
34,5.0,5.0,23,0,,False,,
35,6.0,4.95,40,0,,False,,
36,0.0,5.0,4,0,,False,,
37,13.0,5.0,5,0,,False,,
38,13.0,5.0,15,0,,False,,
39,20.0,5.0,3,0,,False,,
40,0.0,4.88,92,0,,False,,
41,12.0,5.0,34,0,,False,,
42,9.0,5.0,3,0,,False,,
43,12.0,5.0,23,0,,False,,
44,12.0,5.0,2,0,,False,,
45,6.0,5.0,28,0,,False,,
46,10.0,5.0,4,0,,False,,
47,20.0,5.0,27,0,,False,,
48,21.0,5.0,33,0,,False,,
49,9.0,4.95,113,0,,False,,
50,13.0,4.96,29,0,,False,,
51,8.0,,0,0,,True,,
52,4.0,5.0,3,0,,False,,
53,9.0,5.0,46,0,,False,,
54,10.0,4.94,19,0,,False,,
55,10.0,,0,0,,True,,
56,6.0,4.67,7,0,,False,,
57,17.0,5.0,16,0,,False,,
58,9.0,4.98,55,0,,False,,
59,6.0,4.84,23,0,,False,,
60,9.0,4.88,31,0,,False,,
61,22.0,5.0,9,0,,False,,
62,7.0,5.0,2,0,,False,,
63,6.0,5.0,1,0,,False,,
64,13.0,5.0,21,0,,False,,
65,10.0,5.0,10,0,,False,,
66,9.0,5.0,5,0,,False,,
67,10.0,,0,0,,True,,
68,18.0,5.0,2,0,,False,,
69,28.0,5.0,7,0,,False,,
70,11.0,,0,0,,True,,
71,13.0,,0,0,,True,,
72,0.0,5.0,6,0,,False,,
73,11.0,5.0,15,0,,False,,
74,8.0,5.0,9,0,,False,,
75,20.0,,1,0,,False,,
76,10.0,5.0,1,0,,False,,
77,9.0,5.0,19,0,,False,,
78,8.0,4.97,38,0,,False,,
79,6.0,5.0,9,0,,False,,
80,9.0,5.0,32,0,,False,,
81,3.0,5.0,6,0,,False,,
82,21.0,5.0,12,0,,False,,
83,14.0,4.5,4,0,,False,,
84,15.0,,1,0,,False,,
85,11.0,5.0,6,0,,False,,
86,9.0,5.0,2,0,,False,,
87,13.0,5.0,55,0,,False,,
88,5.0,5.0,27,0,,False,,
89,33.0,5.0,6,0,,False,,
90,5.0,,0,0,,False,,
91,18.0,4.9,21,0,,False,,
92,36.0,5.0,1,0,,False,,
93,8.0,4.8,5,0,,False,,
94,43.0,4.98,47,0,,False,,
95,17.0,4.89,12,0,,False,,
96,6.0,5.0,3,0,,False,,
97,6.0,5.0,22,0,,False,,
98,5.0,5.0,37,0,,False,,
99,17.0,4.87,33,0,,False,,
100,30.0,4.92,27,0,,False,,
101,5.0,5.0,2,0,,False,,
102,19.0,5.0,7,0,,False,,
103,21.0,5.0,9,0,,False,,
104,9.0,4.83,22,0,,False,,
105,37.0,5.0,3,0,,False,,
106,48.0,5.0,30,0,,False,,
107,3.0,,0,0,,False,,
108,8.0,,0,0,,True,,
109,3.0,,0,0,,False,,
110,11.0,5.0,3,0,,False,,
111,17.0,4.6,15,0,,False,,
112,32.0,,0,0,,False,,
113,8.0,5.0,3,0,,False,,
114,43.0,4.95,44,0,,False,,
115,10.0,4.91,28,0,,False,,
116,10.0,4.64,12,0,,False,,
117,4.0,5.0,22,0,,False,,
118,15.0,4.67,24,0,,False,,
119,8.0,5.0,2,0,,True,,
120,6.0,4.75,5,0,,False,,
121,7.0,5.0,4,0,,False,,
122,29.0,,0,0,,True,,
123,8.0,5.0,1,0,,True,,
124,11.0,4.94,21,0,,False,,
125,10.0,5.0,7,0,,False,,
126,9.0,5.0,9,0,,False,,
127,20.0,,1,0,,False,,
128,46.0,5.0,33,0,,False,,
129,5.0,,0,0,,False,,
130,25.0,4.71,21,0,,False,,
131,9.0,,1,0,,False,,
132,11.0,5.0,8,0,,False,,
133,25.0,,0,0,,True,,
134,20.0,,0,0,,False,,
135,27.0,5.0,17,0,,False,,
136,24.0,5.0,10,0,,False,,
137,6.0,,0,0,,True,,
138,17.0,,0,0,,False,,
139,4.0,5.0,32,0,,False,,
140,21.0,5.0,1,0,,False,,
141,16.0,5.0,2,0,,False,,
142,23.0,5.0,12,0,,False,,
143,32.0,5.0,2,0,,False,,
144,26.0,5.0,13,0,,False,,
145,18.0,,0,0,,False,,
146,4.0,5.0,10,0,,False,,
147,12.0,3.75,6,0,,False,,
148,16.0,5.0,4,0,,False,,
149,4.0,5.0,26,0,,False,,
150,7.0,4.92,76,0,,False,,
151,15.0,5.0,6,0,,False,,
152,25.0,,1,0,,True,,
153,7.0,5.0,11,0,,False,,
154,31.0,4.89,13,0,,False,,
155,26.0,4.67,6,0,,False,,
156,17.0,4.78,25,0,,False,,
157,8.0,4.67,3,0,,False,,
158,10.0,4.97,43,0,,False,,
159,43.0,5.0,6,0,,False,,
160,11.0,4.85,33,0,,False,,
161,7.0,,0,0,,False,,
162,13.0,4.25,5,0,,False,,
163,7.0,5.0,28,0,,False,,
164,15.0,5.0,1,0,,False,,
165,27.0,5.0,1,0,,False,,
166,11.0,5.0,7,0,,False,,
167,13.0,,0,0,,False,,
168,28.0,5.0,9,0,,False,,
169,18.0,,0,0,,False,,
170,19.0,5.0,2,0,,False,,
171,9.0,5.0,14,0,,False,,
172,9.0,5.0,15,0,,False,,
173,17.0,5.0,6,0,,False,,
174,32.0,4.89,28,0,,False,,
175,8.0,,0,0,,True,,
176,17.0,,0,0,,True,,
177,26.0,5.0,11,0,,False,,
178,19.0,5.0,2,0,,False,,
179,25.0,5.0,11,0,,False,,
180,9.0,5.0,4,0,,False,,
181,10.0,,1,0,,False,,
182,0.0,,0,0,,False,,
183,14.0,5.0,3,0,,False,,
184,29.0,,0,0,,False,,
185,13.0,5.0,11,0,,False,,
186,42.0,,0,0,,False,,
187,10.0,,0,0,,False,,
188,4.0,4.0,2,0,,False,,
189,14.0,4.5,2,0,,False,,
190,49.0,,0,0,,False,,
191,21.0,5.0,2,0,,False,,
192,22.0,,0,0,,False,,
